Full Image Title,Onsite Image URL,Date,Object Page URL,Shortened Title with Date
Marriage of Peleus and Thetis,../img/scale/brueghel/3361.jpg,1608,janbrueghel/marriage-of-peleus-and-thetis,Marriage of Peleus and Thetis
Marriage of Peleus and Thetis (Dresden),../img/scale/brueghel/3362.jpg,1616,janbrueghel/marriage-of-peleus-and-thetis-dresden,Marriage of Peleus and Thetis (Dresden)
Marriage of Peleus and Thetis (Munich),../img/scale/brueghel/3363.jpg,1608,janbrueghel/marriage-of-peleus-and-thetis-munich,Marriage of Peleus and Thetis (Munich)
"Mary with Christ, John and Putti in a Landscape",../img/scale/brueghel/3364.jpg,1608,janbrueghel/mary-with-christ-john-and-putti-in-a-landscape,"Mary with Christ, John and Putti in a Landscape"
Mary with Christ and John in a Flower Garland,../img/scale/brueghel/3365.jpg,1620,janbrueghel/mary-with-christ-and-john-in-a-flower-garland,Mary with Christ and John in a Flower Garland
Mass in a Grotto (London),../img/scale/brueghel/3366.jpg,1620,janbrueghel/mass-in-a-grotto-london,Mass in a Grotto (London)
Mass in a Grotto (Milan),../img/scale/brueghel/3367.jpg,1602,janbrueghel/mass-in-a-grotto-milan,Mass in a Grotto (Milan)
"Minerva, Ceres and Fortuna",../img/scale/brueghel/3368.jpg,1620,janbrueghel/minerva-ceres-and-fortuna,"Minerva, Ceres and Fortuna"
Moses and the Israelites in the Wilderness (New York),../img/scale/brueghel/3369.jpg,1610,janbrueghel/moses-and-the-israelites-in-the-wilderness-new-york,Moses and the Israelites in the Wilderness (New York)
Mountain Landscape with Flight into Egypt,../img/scale/brueghel/3373.jpg,1595,janbrueghel/mountain-landscape-with-flight-into-egypt,Mountain Landscape with Flight into Egypt
Mountain Landscape with Hermits (London),../img/scale/brueghel/3374.jpg,1597,janbrueghel/mountain-landscape-with-hermits-london,Mountain Landscape with Hermits (London)
Mountain Landscape with Rest on the Flight into Egypt (Switzerland),../img/scale/brueghel/3375.jpg,1595,janbrueghel/mountain-landscape-with-rest-on-the-flight-into-egypt-switzerland,Mountain Landscape with Rest on the Flight into Egypt (Switzerland)
Mountain Landscape with Ruins,../img/scale/brueghel/3376.jpg,1590,janbrueghel/mountain-landscape-with-ruins,Mountain Landscape with Ruins
